Raumnummer: ;B11;
Zeitstempel [s]; Maximal erlaubte anzahl Personen; anzahl Personen im Raum; Anzahlaenderung; Personenzahl Gesamt; Personenzahl Gesamt raus; Personenzahl Gesamt rein; Status;
0.320;2;0;0;0;0;0;Durchgang wird blockiert;
0.340;2;0;0;0;0;0;Durchgang wird blockiert;
0.360;2;0;0;0;0;0;Durchgang wird blockiert;
0.380;2;0;0;0;0;0;Durchgang wird blockiert;
0.400;2;0;0;0;0;0;Durchgang wird blockiert;
0.420;2;0;0;0;0;0;Durchgang wird blockiert;
0.440;2;0;0;0;0;0;Durchgang wird blockiert;
0.460;2;0;0;0;0;0;Durchgang wird blockiert;
0.480;2;0;0;0;0;0;Durchgang wird blockiert;
0.500;2;0;0;0;0;0;Durchgang wird blockiert;
0.520;2;0;0;0;0;0;Durchgang wird blockiert;
0.540;2;0;0;0;0;0;Durchgang wird blockiert;
0.560;2;0;0;0;0;0;Durchgang wird blockiert;
0.580;2;0;0;0;0;0;Durchgang wird blockiert;
0.600;2;0;0;0;0;0;Durchgang wird blockiert;
0.620;2;0;0;0;0;0;Durchgang wird blockiert;
0.640;2;0;0;0;0;0;Durchgang wird blockiert;
0.660;2;0;0;0;0;0;Durchgang wird blockiert;
0.680;2;0;0;0;0;0;Durchgang wird blockiert;
0.700;2;0;0;0;0;0;Durchgang wird blockiert;
0.720;2;0;0;0;0;0;Durchgang wird blockiert;
0.740;2;0;0;0;0;0;Durchgang wird blockiert;
0.760;2;0;0;0;0;0;Durchgang wird blockiert;
0.780;2;0;0;0;0;0;Durchgang wird blockiert;
0.800;2;0;0;0;0;0;Durchgang wird blockiert;
0.820;2;0;0;0;0;0;Durchgang wird blockiert;
0.840;2;0;0;0;0;0;Durchgang wird blockiert;
0.860;2;0;0;0;0;0;Durchgang wird blockiert;
0.880;2;0;0;0;0;0;Durchgang wird blockiert;
0.900;2;0;0;0;0;0;Durchgang wird blockiert;
0.920;2;0;0;0;0;0;Durchgang wird blockiert;
0.940;2;0;0;0;0;0;Durchgang wird blockiert;
0.960;2;0;0;0;0;0;Durchgang wird blockiert;
0.980;2;0;0;0;0;0;Durchgang wird blockiert;
1.000;2;0;0;0;0;0;Durchgang wird blockiert;
1.020;2;0;0;0;0;0;Durchgang wird blockiert;
1.040;2;0;0;0;0;0;Durchgang wird blockiert;
1.060;2;0;0;0;0;0;Durchgang wird blockiert;
1.080;2;0;0;0;0;0;Durchgang wird blockiert;
1.100;2;0;0;0;0;0;Durchgang wird blockiert;
1.120;2;0;0;0;0;0;Durchgang wird blockiert;
1.140;2;0;0;0;0;0;Durchgang wird blockiert;
1.160;2;0;0;0;0;0;Durchgang wird blockiert;
1.180;2;0;0;0;0;0;Durchgang wird blockiert;
1.200;2;0;0;0;0;0;Durchgang wird blockiert;
1.220;2;0;0;0;0;0;Durchgang wird blockiert;
1.240;2;0;0;0;0;0;Durchgang wird blockiert;
1.260;2;0;0;0;0;0;Durchgang wird blockiert;
1.280;2;0;0;0;0;0;Durchgang wird blockiert;
1.300;2;0;0;0;0;0;Durchgang wird blockiert;
1.320;2;0;0;0;0;0;Durchgang wird blockiert;
1.340;2;0;0;0;0;0;Durchgang wird blockiert;
1.360;2;0;0;0;0;0;Durchgang wird blockiert;
1.380;2;0;0;0;0;0;Durchgang wird blockiert;
1.400;2;0;0;0;0;0;Durchgang wird blockiert;
1.420;2;0;0;0;0;0;Durchgang wird blockiert;
1.440;2;0;0;0;0;0;Durchgang wird blockiert;
1.460;2;0;0;0;0;0;Durchgang wird blockiert;
1.480;2;0;0;0;0;0;Durchgang wird blockiert;
1.500;2;0;0;0;0;0;Durchgang wird blockiert;
1.520;2;0;0;0;0;0;Durchgang wird blockiert;
1.540;2;0;0;0;0;0;Durchgang wird blockiert;
1.560;2;0;0;0;0;0;Durchgang wird blockiert;
1.580;2;0;0;0;0;0;Durchgang wird blockiert;
1.600;2;0;0;0;0;0;Durchgang wird blockiert;
1.620;2;0;0;0;0;0;Durchgang wird blockiert;
1.640;2;0;0;0;0;0;Durchgang wird blockiert;
1.660;2;0;0;0;0;0;Durchgang wird blockiert;
1.680;2;0;0;0;0;0;Durchgang wird blockiert;
1.700;2;0;0;0;0;0;Durchgang wird blockiert;
1.720;2;0;0;0;0;0;Durchgang wird blockiert;
1.720;2;0;0;0;0;0;Durchgang wieder frei;
