Raumnummer: ;B11;;;;;;
Zeitstempel [s]; Maximal erlaubte anzahl Personen; anzahl Personen im Raum; Anzahlaenderung; Personenzahl Gesamt; Personenzahl Gesamt raus; Personenzahl Gesamt rein; Status
0.32;2;0;0;0;0;0;Durchgang wird blockiert
0.34;2;0;0;0;0;0;Durchgang wird blockiert
0.36;2;0;0;0;0;0;Durchgang wird blockiert
0.38;2;0;0;0;0;0;Durchgang wird blockiert
0.4;2;0;0;0;0;0;Durchgang wird blockiert
0.42;2;0;0;0;0;0;Durchgang wird blockiert
0.44;2;0;0;0;0;0;Durchgang wird blockiert
0.46;2;0;0;0;0;0;Durchgang wird blockiert
0.48;2;0;0;0;0;0;Durchgang wird blockiert
0.5;2;0;0;0;0;0;Durchgang wird blockiert
0.52;2;0;0;0;0;0;Durchgang wird blockiert
0.54;2;0;0;0;0;0;Durchgang wird blockiert
0.56;2;0;0;0;0;0;Durchgang wird blockiert
0.58;2;0;0;0;0;0;Durchgang wird blockiert
0.6;2;0;0;0;0;0;Durchgang wird blockiert
0.62;2;0;0;0;0;0;Durchgang wird blockiert
0.64;2;0;0;0;0;0;Durchgang wird blockiert
0.66;2;0;0;0;0;0;Durchgang wird blockiert
0.68;2;0;0;0;0;0;Durchgang wird blockiert
0.7;2;0;0;0;0;0;Durchgang wird blockiert
0.72;2;0;0;0;0;0;Durchgang wird blockiert
0.74;2;0;0;0;0;0;Durchgang wird blockiert
0.76;2;0;0;0;0;0;Durchgang wird blockiert
0.78;2;0;0;0;0;0;Durchgang wird blockiert
0.8;2;0;0;0;0;0;Durchgang wird blockiert
0.82;2;0;0;0;0;0;Durchgang wird blockiert
0.84;2;0;0;0;0;0;Durchgang wird blockiert
0.86;2;0;0;0;0;0;Durchgang wird blockiert
0.88;2;0;0;0;0;0;Durchgang wird blockiert
0.9;2;0;0;0;0;0;Durchgang wird blockiert
0.92;2;0;0;0;0;0;Durchgang wird blockiert
0.94;2;0;0;0;0;0;Durchgang wird blockiert
0.96;2;0;0;0;0;0;Durchgang wird blockiert
0.98;2;0;0;0;0;0;Durchgang wird blockiert
1;2;0;0;0;0;0;Durchgang wird blockiert
1.02;2;0;0;0;0;0;Durchgang wird blockiert
1.04;2;0;0;0;0;0;Durchgang wird blockiert
1.06;2;0;0;0;0;0;Durchgang wird blockiert
1.08;2;0;0;0;0;0;Durchgang wird blockiert
1.1;2;0;0;0;0;0;Durchgang wird blockiert
1.12;2;0;0;0;0;0;Durchgang wird blockiert
1.14;2;0;0;0;0;0;Durchgang wird blockiert
1.16;2;0;0;0;0;0;Durchgang wird blockiert
1.18;2;0;0;0;0;0;Durchgang wird blockiert
1.2;2;0;0;0;0;0;Durchgang wird blockiert
1.22;2;0;0;0;0;0;Durchgang wird blockiert
1.24;2;0;0;0;0;0;Durchgang wird blockiert
1.26;2;0;0;0;0;0;Durchgang wird blockiert
1.28;2;0;0;0;0;0;Durchgang wird blockiert
1.3;2;0;0;0;0;0;Durchgang wird blockiert
1.32;2;0;0;0;0;0;Durchgang wird blockiert
1.34;2;0;0;0;0;0;Durchgang wird blockiert
1.36;2;0;0;0;0;0;Durchgang wird blockiert
1.38;2;0;0;0;0;0;Durchgang wird blockiert
1.4;2;0;0;0;0;0;Durchgang wird blockiert
1.42;2;0;0;0;0;0;Durchgang wird blockiert
1.44;2;0;0;0;0;0;Durchgang wird blockiert
1.46;2;0;0;0;0;0;Durchgang wird blockiert
1.48;2;0;0;0;0;0;Durchgang wird blockiert
1.5;2;0;0;0;0;0;Durchgang wird blockiert
1.52;2;0;0;0;0;0;Durchgang wird blockiert
1.54;2;0;0;0;0;0;Durchgang wird blockiert
1.56;2;0;0;0;0;0;Durchgang wird blockiert
1.58;2;0;0;0;0;0;Durchgang wird blockiert
1.6;2;0;0;0;0;0;Durchgang wird blockiert
1.62;2;0;0;0;0;0;Durchgang wird blockiert
1.64;2;0;0;0;0;0;Durchgang wird blockiert
1.66;2;0;0;0;0;0;Durchgang wird blockiert
1.68;2;0;0;0;0;0;Durchgang wird blockiert
1.7;2;0;0;0;0;0;Durchgang wird blockiert
1.72;2;0;0;0;0;0;Durchgang wird blockiert
1.72;2;0;0;0;0;0;Durchgang wieder frei
